mình P O
muốn V O
bán V side-S
mã N symbol-prefix
imp V symbol
số_lượng N O
632 M quantity
giá N O
15 M price
nghìn M O
đồng Nu O

nhận_định N O
mã_chứng_khoán A symbol-prefix
pis N symbol

bmi N symbol
biến_động V O

tôi P O
có V O
nhu_cầu N O
bán V side-S
mã N symbol-prefix
vnindex V symbol
khối_lượng N O
810 M quantity
cổ_phiếu N symbol-prefix
giá N O
9.85 M price
vnđ N O

mình P O
cần V O
chuyển_nhượng V O
số_lượng N O
332 M quantity
mã N symbol-prefix
agm V symbol
giá N O
13.19 M price
vnđ N O

sda N symbol
biến_động V O

thông_tin N O
cổ_phiếu N symbol-prefix
frm V symbol

nhận_định N O
mã A symbol-prefix
cổ_phiếu N symbol-prefix
psp V symbol

pjs N symbol
biến_động V O

tôi P O
có V O
nhu_cầu N O
bán V side-S
mã N symbol-prefix
pdb N symbol
445 M quantity
cái Nc O
giá N O
3.43 M price
nghìn M O
đồng Nu O

thông_tin N O
mã_chứng_khoán V symbol-prefix
htm N symbol

tôi P O
cần V O
sang_tên V O
khối_lượng N O
636 M quantity
cổ_phiếu N symbol-prefix
mã N symbol-prefix
api V symbol
giá N O
19.74 M price
vnđ N O

tix N symbol
biến_động V O

i10 N symbol
biến_động V O

nhận_định V O
cổ_phiếu N symbol-prefix
tpc V symbol

tao P O
muốn V O
bán V side-S
số_lượng N O
446 M quantity
cái Nc O
mã N symbol-prefix
tkc V symbol
giá N O
19.95 M price

sang_tên V O
627 M quantity
cái Nc O
mã N symbol-prefix
opc V symbol
giá N O
17.27 M price
vnđ N O

mình P O
muốn V O
bán V side-S
mã N symbol-prefix
dnr V symbol
số_lượng N O
163 M quantity
giá N O
20 M price
vnđ N O

ame N symbol
biến_động V O

tao P O
muốn V O
sang_tên V O
mã N symbol-prefix
hfb V symbol
số_lượng N O
968 M quantity
giá N O
11.1 M price
nghìn M O
đồng Nu O

thông_tin N O
mã_vn30index V O

tình_hình N O
mã_chứng_khoán N symbol-prefix
dlr A symbol

chuyển_nhượng V O
mã N symbol-prefix
tvp V symbol
số_lượng N O
953 M quantity
cái Nc O
giá N O
3.92 M price

mình P O
cần V O
sang_tên V O
mã N symbol-prefix
ts3 V symbol
số_lượng N O
794 M quantity
cổ_phiếu N symbol-prefix
giá N O
7.34 M price

thông_tin N O
mã_chứng_khoán V symbol-prefix
lmi N symbol

nhận_định N O
mã A symbol-prefix
cổ_phiếu N symbol-prefix
ds3 V symbol

thông_tin N O
mã V symbol-prefix
cổ_phiếu N symbol-prefix
msc V symbol

asa N symbol
biến_động V O

tôi P O
cần V O
sang_tên V O
144 M quantity
sbl Nu symbol
giá N O
3.54 M price
nghìn M O
đồng Nu O

tôi P O
cần V O
bán V side-S
khối_lượng N O
547 M quantity
cổ_phiếu N symbol-prefix
mã N symbol-prefix
idv V symbol
giá N O
25 M price
vnđ N O

tao P O
muốn V O
sang_tên V O
mã N symbol-prefix
trc V symbol
số_lượng N O
256 M quantity
cái Nc O
giá N O
14.19 M price

hha N symbol
biến_động V O

mua V side-B
mã N symbol-prefix
vlp N symbol
số_lượng N O
928 M quantity
cái Nc O
giá N O
3.61 M price
vnđ N O

tao P O
muốn V O
bán V side-S
366 M quantity
mã N symbol-prefix
ijc V symbol
giá N O
22.38 M price

mình P O
muốn V O
mua V side-B
mã N symbol-prefix
ktt N symbol
số_lượng N O
50 M quantity
giá N O
9 M price
nghìn M O
đồng Nu O

tôi P O
có V O
nhu_cầu N O
bán V side-S
mã N symbol-prefix
sdp N symbol
276 M quantity
cái Nc O
giá N O
20.61 M price
vnđ N O

thông_tin N O
mã_fox V O

tôi P O
có V O
nhu_cầu N O
bán V side-S
248 M quantity
dat Nu symbol
giá N O
23.27 M price
nghìn M O
đồng Nu O

nhận_định N O
mã_chứng_khoán A symbol-prefix
hpd N symbol

thông_tin N O
mã_mpy V O

chuyển_nhượng V O
mã N symbol-prefix
vfc A symbol
747 M quantity
cái Nc O
giá N O
15.98 M price

bán V side-S
665 M quantity
cổ_phiếu N symbol-prefix
ktc V symbol
giá N O
10 M price
vnđ N O

tôi P O
có V O
nhu_cầu N O
chuyển_nhượng V O
mã N symbol-prefix
scc V symbol
khối_lượng N O
858 M quantity
cái Nc O
giá N O
25.47 M price

mình P O
muốn V O
chuyển_nhượng V O
mã N symbol-prefix
vnt V symbol
số_lượng N O
389 M quantity
giá N O
25.98 M price
nghìn M O
đồng Nu O

mình P O
muốn V O
sang_tên V O
khối_lượng N O
216 M quantity
cái Nc O
fbc N symbol
giá N O
0 M price
nghìn M O
đồng Nu O

tôi P O
có V O
nhu_cầu N O
bán V side-S
927 M quantity
kac Nu symbol
giá N O
6.45 M price
vnđ N O

mua V side-B
mã N symbol-prefix
apl N symbol
287 M quantity
cổ_phiếu N symbol-prefix
giá N O
17 M price

tao P O
muốn V O
sang_tên V O
mã N symbol-prefix
icc N symbol
6 M quantity
cái Nc O
giá N O
7 M price
vnđ N O

tôi P O
cần V O
bán V side-S
khối_lượng N O
800 M quantity
cái Nc O
spa N symbol
giá N O
5 M price
nghìn M O
đồng Nu O

nhận_định N O
mã_nt2 A O

mua V side-B
536 M quantity
spp Nu symbol
giá N O
19.09 M price
nghìn M O
đồng Nu O

in4 N symbol
biến_động V O

mình P O
cần V O
mua V side-B
mã N symbol-prefix
khw N symbol
918 M quantity
cổ_phiếu N symbol-prefix
giá N O
21 M price
nghìn M O
đồng Nu O

nhận_định V O
cổ_phiếu N symbol-prefix
ogc V symbol

tôi P O
có V O
nhu_cầu N O
chuyển_nhượng V O
mã N symbol-prefix
sfi A symbol
583 M quantity
cái Nc O
giá N O
17 M price

nhận_định N O
mã_chứng_khoán A symbol-prefix
tdg N symbol

nhận_định N O
mã_dhn A O

mec N symbol
biến_động V O

ceo N symbol
biến_động V O

pmg N symbol
biến_động V O

tôi P O
có V O
nhu_cầu N O
bán V side-S
khối_lượng N O
444 M quantity
cổ_phiếu N symbol-prefix
mã N symbol-prefix
ggg V symbol
giá N O
19 M price
nghìn M O
đồng Nu O

mình P O
muốn V O
bán V side-S
mã N symbol-prefix
tdg V symbol
khối_lượng N O
181 M quantity
cổ_phiếu N symbol-prefix
giá N O
18 M price
nghìn M O
đồng Nu O

tôi P O
có V O
nhu_cầu N O
mua V side-B
275 M quantity
csm Nu symbol
giá N O
17 M price
nghìn M O
đồng Nu O

tao P O
muốn V O
mua V side-B
mã N symbol-prefix
tig N symbol
319 M quantity
cổ_phiếu N symbol-prefix
giá N O
10.38 M price

mình P O
muốn V O
bán V side-S
955 M quantity
cái Nc O
mtl N symbol
giá N O
11 M price

mình P O
cần V O
sang_tên V O
số_lượng N O
877 M quantity
pws Nu symbol
giá N O
22 M price
vnđ N O

tôi P O
cần V O
sang_tên V O
khối_lượng N O
503 M quantity
cổ_phiếu N symbol-prefix
mã N symbol-prefix
vtv V symbol
giá N O
11 M price

stu N symbol
biến_động V O

mình P O
cần V O
sang_tên V O
số_lượng N O
153 M quantity
mã N symbol-prefix
tip V symbol
giá N O
17.01 M price
vnđ N O

tôi P O
có V O
nhu_cầu N O
mua V side-B
mã N symbol-prefix
htg N symbol
số_lượng N O
245 M quantity
cái Nc O
giá N O
22 M price
nghìn M O
đồng Nu O

btw N symbol
biến_động V O

thông_tin N O
mã_dss V O

tình_hình N O
mã_chứng_khoán N symbol-prefix
csc A symbol

chuyển_nhượng V O
khối_lượng N O
538 M quantity
cổ_phiếu N symbol-prefix
mã N symbol-prefix
vnindex V symbol
giá N O
24.56 M price

nac N symbol
biến_động V O

tôi P O
cần V O
sang_tên V O
số_lượng N O
216 M quantity
cái Nc O
mã N symbol-prefix
lbm V symbol
giá N O
15 M price
vnđ N O

trt N symbol
biến_động V O

mua V side-B
mã N symbol-prefix
bth N symbol
số_lượng N O
729 M quantity
giá N O
0.67 M price

tôi P O
cần V O
mua V side-B
mã N symbol-prefix
sdx N symbol
995 M quantity
giá N O
2 M price
vnđ N O

tôi P O
có V O
nhu_cầu N O
mua V side-B
